Date,ES,6E,6M,ZN,ZC,GC,combined
1999-08-24,-2342.360000000008,-5038.239999999991,14033.960000000006,-2437.179999999993,8099.580000000191,13267.12000000017,25582.880000000376
1999-08-25,-2192.2200000000084,-5038.239999999991,13691.840000000007,-2437.179999999993,8499.580000000191,13026.240000000282,25550.020000000488
1999-08-26,-2110.9700000000084,-5038.239999999991,12841.840000000007,-2437.179999999993,8549.580000000191,12426.240000000165,24231.27000000037
1999-08-27,-1982.2200000000084,-5038.239999999991,12991.840000000007,-2437.179999999993,8399.580000000191,12126.240000000165,24060.02000000037
1999-08-30,-1950.9700000000084,-5038.239999999991,13841.840000000007,-2437.179999999993,8144.460000000196,11326.240000000282,23886.150000000493
1999-08-31,-2024.580000000009,-5038.239999999991,14341.840000000007,-2437.179999999993,7881.960000000196,12220.800000000163,24944.600000000373
1999-09-01,-1884.580000000009,-5038.239999999991,13691.840000000007,-2437.179999999993,7731.960000000196,11735.36000000016,23799.16000000037
1999-09-02,-2312.080000000009,-5038.239999999991,14291.840000000007,-2437.179999999993,7656.960000000196,12457.760000000184,24619.060000000394
1999-09-03,-2212.080000000009,-5038.239999999991,14891.840000000007,-2437.179999999993,7244.460000000196,11384.040000000154,23832.840000000364
1999-09-07,-2144.580000000009,-5038.239999999991,15891.840000000007,-2437.179999999993,7881.960000000196,11178.60000000021,25332.40000000042
1999-09-08,-2134.580000000009,-5038.239999999991,16291.840000000007,-2437.179999999993,8219.460000000196,10647.88000000018,25549.18000000039
1999-09-09,-2227.080000000009,-5038.239999999991,17391.840000000007,-2437.179999999993,8364.3400000002,10880.160000000207,26933.840000000422
1999-09-10,-2154.580000000009,-5038.239999999991,17391.840000000007,-2437.179999999993,8664.3400000002,11018.160000000207,27444.340000000422
1999-09-13,-2059.580000000009,-5038.239999999991,17391.840000000007,-2437.179999999993,8864.3400000002,10923.440000000235,27644.62000000045
1999-09-14,-1852.080000000009,-5038.239999999991,18391.840000000007,-2437.179999999993,9264.3400000002,11373.440000000235,29702.12000000045
1999-09-15,-1867.080000000009,-5038.239999999991,16441.840000000007,-2437.179999999993,9164.3400000002,11283.440000000235,27547.12000000045
1999-09-16,-2047.080000000009,-5038.239999999991,17237.22000000001,-2437.179999999993,9564.3400000002,12000.720000000205,29279.78000000042
1999-09-17,-2022.080000000009,-5038.239999999991,19299.72000000001,-2437.179999999993,9754.10000000021,12044.000000000233,31600.320000000458
1999-09-20,-1749.580000000009,-5038.239999999991,19174.72000000001,-2437.179999999993,9454.10000000021,9033.280000000203,28437.100000000428
1999-09-21,-1747.080000000009,-5038.239999999991,19924.72000000001,-2437.179999999993,9673.980000000214,7115.040000000154,27491.240000000384
1999-09-22,-1437.080000000009,-5038.239999999991,19674.72000000001,-2437.179999999993,10281.360000000219,6577.160000000178,27620.740000000413
1999-09-23,-1407.080000000009,-5038.239999999991,18612.22000000001,-2437.179999999993,10481.360000000219,6007.440000000177,26218.52000000041
1999-09-24,-1487.080000000009,-5038.239999999991,19112.22000000001,-2437.179999999993,9081.360000000219,2832.7200000001176,22063.800000000352
1999-09-27,-1467.080000000009,-5038.239999999991,18112.22000000001,-2437.179999999993,8381.360000000219,-3349.919999999838,14201.160000000396
1999-09-28,-1324.4400000000096,-5038.239999999991,18674.72000000001,-2437.179999999993,8481.360000000219,-2331.679999999833,16024.540000000401
1999-09-29,-1601.9400000000096,-5038.239999999991,18987.22000000001,-2437.179999999993,10681.360000000219,-2244.3999999998414,18346.820000000393
1999-09-30,-1530.6900000000096,-5038.239999999991,17799.72000000001,-2437.179999999993,11681.360000000219,-2444.3999999998414,18030.570000000393
1999-10-01,-1913.1900000000096,-5038.239999999991,15549.720000000008,-2437.179999999993,11981.360000000219,-2972.3999999998414,15170.070000000393
1999-10-04,-1868.1900000000096,-5038.239999999991,17295.10000000001,-2437.179999999993,12281.360000000219,-3335.1199999998425,16897.730000000392
1999-10-05,-2156.9400000000096,-5038.239999999991,17795.10000000001,-2437.179999999993,11876.240000000224,-3350.1199999998425,16688.860000000397
1999-10-06,-2070.6900000000096,-5038.239999999991,18195.10000000001,-2437.179999999993,12438.740000000224,-3295.8399999998364,17791.890000000403
1999-10-07,-2333.1900000000096,-5038.239999999991,18495.10000000001,-2437.179999999993,14463.740000000224,-3243.83999999984,19906.3900000004
1999-10-08,-2021.9400000000096,-5038.239999999991,18495.10000000001,-2437.179999999993,13451.240000000224,-3179.83999999984,19269.1400000004
1999-10-12,-1466.9400000000096,-5038.239999999991,16495.10000000001,-2437.179999999993,13788.740000000224,-3264.5599999998394,18076.9200000004
1999-10-13,-1474.4400000000096,-5038.239999999991,15295.10000000021,-2437.179999999993,13783.620000000228,-3195.5599999998394,16933.300000000607
1999-10-14,-979.4400000000096,-5038.239999999991,13495.10000000001,-2437.179999999993,14533.620000000228,-3220.5599999998394,16353.300000000405
1999-10-15,-1106.9400000000096,-5038.239999999991,13490.48000000001,-2437.179999999993,13158.620000000228,-3175.5599999998394,14891.180000000406
1999-10-18,-1241.9400000000096,-5038.239999999991,14910.860000000011,-2437.179999999993,14033.620000000228,-3150.5599999998394,17076.560000000405
1999-10-19,-1515.6900000000096,-5038.239999999991,15606.240000000013,-2437.179999999993,14158.620000000228,-3133.5599999998394,17640.19000000041
1999-10-20,-1568.1900000000096,-5038.239999999991,15381.240000000013,-2437.179999999993,14408.620000000228,-3121.5599999998376,17624.69000000041
1999-10-21,-1740.6900000000096,-5038.239999999991,16506.240000000013,-2437.179999999993,14533.620000000228,-3096.5599999998376,18727.19000000041
1999-10-22,-1643.1900000000096,-5038.239999999991,16206.240000000013,-2437.179999999993,13408.620000000228,-3072.5599999998394,17423.69000000041
1999-10-25,-1410.6900000000096,-5038.239999999991,16393.740000000013,-2437.179999999993,13408.620000000228,-2968.5599999998394,17947.69000000041
1999-10-26,-1714.4400000000096,-5038.239999999991,16389.120000000014,-2437.179999999993,14158.620000000228,-3007.5599999998394,18350.320000000407
1999-10-27,-2393.1900000000096,-5038.239999999991,16889.120000000014,-2437.179999999993,14408.620000000228,-3076.5599999998376,18352.57000000041
