Date,TA,M,RB,FG,MA,HC,V,RM,AG
2015-05-20,64880,212519.0,211970,37264,41242,40,203.0,376980,1786804
2015-05-21,61860,106070.0,210732,18758,28420,2,82.0,284714,1035726
2015-05-22,68006,167663.0,170430,21800,33540,6,58.0,249594,906614
2015-05-25,87270,113662.0,167436,21964,22866,0,28.0,222998,857864
2015-05-26,105450,121160.0,239232,29406,31064,0,82.0,242810,960868
2015-05-27,56392,104012.0,126604,15876,46386,8,102.0,226220,905320
2015-05-28,87534,151287.0,203356,46588,33364,0,134.0,296992,816096
2015-05-29,69534,76529.0,187336,19208,30078,8,29.0,166096,906320
2015-06-01,94704,171718.0,265036,14658,24966,8,56.0,171760,746350
2015-06-02,214002,314840.0,165048,29168,23598,2,77.0,256282,1595452
2015-06-03,149444,152872.0,202634,21340,42630,0,88.0,280428,898340
2015-06-04,135472,198898.0,231448,21236,40398,2,22.0,265746,1052946
2015-06-05,151996,128524.0,169628,11532,37282,0,63.0,175758,1178526
2015-06-08,114166,98998.0,156826,11844,30666,0,666.0,135172,1141656
2015-06-09,63254,74520.0,133934,9964,41832,48,102.0,114000,713624
2015-06-10,110980,77597.0,213704,14692,41360,36,84.0,120524,733544
2015-06-11,87956,89981.0,274116,20952,58132,4,127.0,118736,502
2015-06-12,131534,201174.0,282470,24610,41870,2,108.0,307960,1150
2015-06-15,68596,164861.0,252862,22056,42324,0,101.0,239690,866
2015-06-16,102024,177499.0,341926,25248,76660,38,583.0,199610,442
2015-06-17,88292,278338.0,428432,26432,79696,0,47.0,428572,520
2015-06-18,93134,142629.0,291976,18278,37726,4,236.0,188094,696
2015-06-19,84982,262330.0,259376,20374,53412,0,33.0,237970,1026
2015-06-23,48842,214724.0,266702,19846,46362,0,173.0,216264,568
2015-06-24,69098,253320.0,319702,19078,53092,10,101.0,140396,1602
2015-06-25,92442,183735.0,297048,13720,40048,4,182.0,150688,1130
2015-06-26,93136,355667.0,343732,25612,74246,42,187.0,345384,826
2015-06-29,110702,358005.0,493912,16320,63918,0,175.0,327282,1032
2015-06-30,237848,428338.0,1058370,32388,157964,8,392.0,362482,1046
2015-07-01,153766,419709.0,552438,28276,78086,8,264.0,704380,1458
2015-07-02,177942,377531.0,1009790,11986,127526,10,194.0,434944,1310
2015-07-03,217946,463505.0,1106394,16984,72592,16,237.0,582172,1136
2015-07-06,180050,507139.0,1340274,26876,221040,10,505.0,399200,1028
2015-07-07,181868,599873.0,2666974,47990,434742,42,688.0,982168,1150
2015-07-08,294380,802100.0,3692064,68042,209218,48,1422.0,656800,4180
2015-07-09,283760,976240.0,3976356,94760,475476,20,1559.0,1470948,4692
2015-07-10,257416,465303.0,3492758,46696,333286,32,1382.0,621148,1840
2015-07-13,241790,563297.0,2244890,33348,264794,24,632.0,1267964,740
2015-07-14,261826,1020511.0,2608720,26704,312732,0,794.0,2106046,1156
2015-07-15,258120,765786.0,2199398,24788,392252,8,596.0,1428798,618
2015-07-16,311000,693907.0,4108176,34020,443086,0,1334.0,1498814,1536
2015-07-17,207106,835612.0,2935124,20814,261164,0,474.0,2030278,950
2015-07-20,287722,704638.0,5372274,38980,228114,0,163.0,1527620,2858
2015-07-21,251434,638831.0,4278448,28858,292298,0,733.0,1412726,2248
2015-07-22,337024,677283.0,4843262,28978,313694,6,257.0,1376960,2180
2015-07-23,315550,929276.0,4318224,35302,514114,0,242.0,1823528,2308
2015-07-24,365938,941841.0,4132504,41558,539548,4,383.0,1525820,3338
2015-07-27,667870,891460.0,5905974,74222,799812,0,2126.0,1272440,2974
2015-07-28,437064,930835.0,5570278,71128,637972,0,1203.0,1342974,1904
2015-07-29,399622,824717.0,5789134,51990,629604,0,1030.0,1588002,1540
2015-07-30,548358,995821.0,4844012,51282,801396,0,430.0,1512102,2730
2015-07-31,419186,853307.0,4215404,46840,653918,24,562.0,1870372,1418
2015-08-03,770382,904465.0,6307800,69868,999420,2,1393.0,1660260,2194
2015-08-04,1082314,1001372.0,3837588,47528,1881558,0,748.0,1683502,1998
2015-08-05,1449638,1168557.0,3994900,52668,1583648,0,952.0,1403350,1132
2015-08-06,1174574,939580.0,3884330,41164,2239070,0,1133.0,1352050,1138
2015-08-07,1170736,1166899.0,4472546,108600,2178826,0,1198.0,1775548,1188
2015-08-10,1230160,1386153.0,3523152,197122,1847664,0,904.0,1974258,3086
2015-08-11,2627428,1707179.0,4898544,189866,2652408,8,3813.0,2490304,6460
2015-08-12,1617472,1370713.0,3829656,269576,2391354,218,2394.0,2440890,9372
2015-08-13,2132046,263880.0,5340620,253708,2640140,12,2988.0,3300644,5306
2015-08-14,1834614,83173.0,2412166,145828,3324214,0,3131.0,1813162,3182
2015-08-17,1312080,82629.0,3325562,208154,2619970,0,2753.0,1528992,6088
2015-08-18,1515404,93246.0,2590430,166676,2655960,0,821.0,67426,1628
2015-08-19,1760718,188897.0,4059872,236682,2347812,0,323.0,131474,3042
2015-08-20,1632960,175448.0,3291744,4392,2413604,0,426.0,104552,4186
2015-08-21,1513344,132713.0,2737948,3706,2409488,0,960.0,131362,5100
2015-08-24,1094846,234504.0,6300192,8836,24628,238,2067.0,171718,6362
2015-08-25,2176186,305828.0,6832422,7996,70932,72,1253.0,275096,10458
2015-08-26,1502464,204166.0,4417540,5384,47888,266,464.0,179894,6160
2015-08-27,2242864,216977.0,4210674,5372,39740,12,456.0,164636,6180
2015-08-28,1039068,237013.0,213784,14070,30478,64,579.0,187620,7922
2015-08-31,37518,176035.0,219806,16930,57748,170,514.0,142874,5760
2015-09-01,63620,113220.0,264696,17048,31448,150,373.0,123684,2466
2015-09-02,31816,92396.0,128278,6936,37402,0,257.0,97460,2728
2015-09-07,14442,83319.0,206232,12142,18106,0,263.0,87720,1658
2015-09-08,33990,103148.0,143606,7070,30072,118,140.0,96068,2234
2015-09-09,36774,160263.0,403102,14654,45880,104,276.0,127950,8452
2015-09-10,38826,146769.0,233326,8938,27554,494,142.0,107116,4142
2015-09-11,48460,206898.0,296792,10644,48766,94,195.0,99128,4858
2015-09-14,32214,227550.0,271314,9440,32486,186,131.0,119314,5104
2015-09-15,22760,172700.0,208498,7652,35114,128,1061.0,150330,2420
2015-09-16,25558,161844.0,240278,7418,39940,402,570.0,93796,2368
2015-09-17,35628,143480.0,202032,8988,57918,106,233.0,88698,4798
2015-09-18,28738,130619.0,130262,8226,27942,0,426.0,77976,5270
2015-09-21,55148,228676.0,174144,10826,24354,28,749.0,136002,5132
2015-09-22,109170,92342.0,112414,7232,61252,104,803.0,64168,2172
2015-09-23,108118,123673.0,179172,12922,66874,88,442.0,112478,4174
2015-09-24,45890,83505.0,156364,27280,42370,10,730.0,135004,3260
2015-09-25,54450,122321.0,184402,18438,49374,22,751.0,105078,6704
2015-09-28,39646,71664.0,165796,8682,21036,40,1138.0,48686,2618
2015-09-29,33086,161509.0,228840,14868,32184,748,510.0,89976,8790
2015-09-30,27924,188027.0,134340,9084,15228,18,169.0,70354,3330
2015-10-08,52266,68161.0,181100,15768,20064,10,719.0,48544,11942
2015-10-09,70460,233507.0,354578,20852,63584,190,1062.0,89898,14436
2015-10-12,90886,221649.0,439802,17926,33166,744,1032.0,114248,14520
2015-10-13,65926,114873.0,287982,15320,20194,634,574.0,89228,16014
2015-10-14,46910,259166.0,325880,30108,16302,156,994.0,80186,18400
2015-10-15,61812,174564.0,271820,17780,19326,112,947.0,44746,19296
2015-10-16,65260,208558.0,312446,25288,33892,16,1098.0,88056,15858
2015-10-19,72572,158638.0,395276,28060,22350,84,1655.0,77798,14850
2015-10-20,71482,238734.0,356702,24588,28012,452,786.0,127084,10666
2015-10-21,68676,218381.0,779904,37984,18238,210,2403.0,134634,14538
2015-10-22,65158,132662.0,801672,76436,24610,52,1442.0,112486,12582
2015-10-23,89952,279141.0,1091922,25568,52124,228,1711.0,177656,25716
2015-10-26,71782,258034.0,1201124,30578,26520,96,2532.0,88086,24134
2015-10-27,143372,272328.0,1384070,42666,55720,330,2146.0,167002,13646
2015-10-28,89486,146245.0,972760,21642,35690,156,3673.0,77922,29090
2015-10-29,136228,136976.0,602350,29654,48500,292,2535.0,70678,63016
2015-10-30,82264,122125.0,575392,33758,43262,130,3316.0,102788,49656
2015-11-02,122854,78589.0,530768,32994,38746,482,3507.0,59050,36012
2015-11-03,82792,160434.0,1411662,30578,28376,402,4900.0,221402,41038
2015-11-04,104984,164836.0,1321266,105112,49088,1588,5731.0,124624,37168
2015-11-05,156344,153633.0,1524966,111196,44836,1240,5196.0,125508,58108
2015-11-06,195148,271400.0,2568118,49864,88798,450,3952.0,164700,41378
2015-11-09,212306,197761.0,1957650,33530,100384,2772,4242.0,138638,95010
2015-11-10,176812,167147.0,1808924,38764,152704,1512,2950.0,148306,118308
2015-11-11,550622,279682.0,1753724,35910,192690,2194,4114.0,164846,114916
2015-11-12,481012,151069.0,2324048,95830,204730,2490,3719.0,132740,106000
2015-11-13,417264,155901.0,1946790,116496,256172,2018,3440.0,237366,185838
2015-11-16,412828,215888.0,1964378,52180,193300,3096,5486.0,233946,168652
2015-11-17,441790,189720.0,1586652,82940,175204,3326,5220.0,163536,229662
2015-11-18,555646,226856.0,2100464,46922,981318,4814,6253.0,225118,195064
2015-11-19,631936,432801.0,4542824,156722,374716,6946,7170.0,528056,257330
2015-11-20,1119550,444720.0,2733446,129160,701856,4948,12586.0,273666,328086
2015-11-23,1254744,821390.0,4414044,115732,799752,8694,9774.0,396940,760626
2015-11-24,1625330,807965.0,3414958,171664,1100238,8540,12559.0,651216,679588
