Date,TA,M,RB,FG,MA,HC,V,RM,AG,combined
2016-08-01,-6425,-10790,23530,9160,-3350,11470,9760,-11585,860,22630
2016-08-02,-6655,-10790,23530,9160,-3350,11470,10410,-11525,860,23110
2016-08-03,-6635,-10790,23530,9160,-3350,11470,10585,-11035,860,23795
2016-08-04,-6575,-10790,23530,9160,-3350,11465,10860,-10445,860,24715
2016-08-05,-6635,-10790,23530,9160,-3350,12220,11310,-10575,860,25730
2016-08-08,-6935,-10790,23530,9160,-3355,12220,11085,-10305,860,25470
2016-08-09,-6875,-10790,23530,9160,-3125,12215,10930,-9725,860,26180
2016-08-10,-6925,-10790,23530,9160,-3315,12125,11180,-10065,860,25760
2016-08-11,-7055,-10790,23530,9160,-3315,11995,10980,-10245,860,25120
2016-08-12,-7075,-10790,23530,9160,-3505,11605,11130,-9835,860,25080
2016-08-15,-6975,-10790,23530,9160,-3425,12585,11230,-9955,860,26220
2016-08-16,-7305,-10790,23530,9160,-3345,12295,11530,-10025,860,25910
2016-08-17,-7175,-10790,23530,9160,-3235,12605,11580,-10555,860,25980
2016-08-18,-7195,-10790,23530,9160,-3165,12775,11680,-10895,860,25960
2016-08-19,-6625,-10790,23530,9160,-2465,12805,11930,-10715,860,27690
2016-08-22,-6705,-10790,23530,9160,-2465,13375,11680,-10855,860,27790
2016-08-23,-6635,-10790,23525,9160,-2435,13365,10980,-10965,860,27065
2016-08-24,-6755,-10790,23305,9160,-2645,13205,10730,-10805,860,26265
2016-08-25,-6705,-10795,22655,9160,-2345,12675,10530,-11145,860,24890
2016-08-26,-6685,-10675,22405,9160,-2085,12545,10080,-11180,860,24425
2016-08-29,-6525,-10845,21855,9160,-2165,12035,10480,-11420,860,23435
2016-08-30,-6415,-11385,21550,9160,-2225,11555,9730,-12200,860,20630
2016-08-31,-6595,-11245,21545,9160,-2425,11705,9730,-12165,860,20570
2016-09-01,-6805,-11225,21585,9160,-2525,11895,9730,-12135,860,20540
2016-09-02,-6910,-11365,21885,9160,-2965,12055,9780,-12415,860,20085
2016-09-05,-6790,-11205,21795,9160,-3285,11805,10875,-12145,860,21070
2016-09-06,-6550,-10695,20985,9160,-3185,10975,10650,-11755,860,20445
2016-09-07,-7050,-10435,20990,9160,-3255,11245,11325,-11685,860,21155
2016-09-08,-7010,-10515,20990,9160,-3125,11325,11475,-11785,860,21375
2016-09-09,-6150,-10555,20985,9160,-3175,10795,10875,-11750,860,21045
2016-09-12,-6055,-10705,20755,9160,-3155,10715,10945,-11950,860,20570
2016-09-13,-6000,-10985,20725,9160,-3255,10895,12345,-12590,860,21155
2016-09-14,-6320,-10285,20800,9160,-3515,10775,15445,-11330,860,25590
2016-09-19,-6100,-10245,20800,9160,-3525,10855,15240,-10990,860,26055
2016-09-20,-6000,-10125,20800,9160,-3295,10675,15540,-10790,860,26825
2016-09-21,-6400,-10345,20800,9160,-3165,11045,15465,-11290,860,26130
2016-09-22,-6460,-10585,20795,9160,-3105,11415,15090,-11510,860,25660
2016-09-23,-6020,-10735,20795,9160,-3005,11445,15165,-11810,860,25855
2016-09-26,-6060,-11025,20455,9155,-3075,11065,14640,-12390,860,23625
2016-09-27,-5880,-10965,20605,9115,-3345,11205,14190,-12270,860,23515
2016-09-28,-6100,-10675,20510,8955,-3735,11035,13890,-12150,860,22590
2016-09-29,-6040,-10765,20505,9975,-3645,10855,15165,-12750,860,24160
2016-09-30,-6360,-10735,20665,10035,-4255,10995,17265,-12910,860,25560
2016-10-10,-7080,-10615,21300,9995,-4545,11685,18835,-12570,860,27865
2016-10-11,-6880,-10865,21300,9935,-4715,11985,19185,-13050,860,27755
