symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
TF1412,20141017,95.342,95.68,95.326,95.656,2798,10745.0,267272.11,95.59,95.458,TF
TF1503,20141017,95.81,96.084,95.79,96.06,192,483.0,18417.556,95.998,95.856,TF
TF1506,20141017,96.15,96.236,96.15,96.22,15,102.0,1443.01,96.2,96.062,TF
IF1411,20141020,2454.8,2459.6,2442.2,2453.8,641808,123535.0,47242674.348,2455.0,2449.4,IF
IF1412,20141020,2454.0,2464.0,2447.4,2458.8,33173,38189.0,2446311.12,2459.6,2454.0,IF
IF1503,20141020,2479.6,2480.0,2462.2,2472.6,4967,8291.0,368546.214,2473.8,2470.2,IF
IF1506,20141020,2484.0,2489.6,2470.4,2479.2,2660,1076.0,198020.604,2481.0,2470.2,IF
TF1412,20141020,95.8,96.048,95.72,95.996,5031,10914.0,482424.312,95.992,95.59,TF
TF1503,20141020,96.304,96.534,96.172,96.5,347,703.0,33439.462,96.49,95.998,TF
TF1506,20141020,96.376,96.682,96.34,96.682,35,116.0,3378.306,96.64,96.2,TF
IF1411,20141021,2453.6,2463.8,2436.2,2439.4,747899,128575.0,54969986.91,2441.0,2455.0,IF
IF1412,20141021,2460.0,2468.0,2441.0,2443.8,39715,38492.0,2924230.362,2445.8,2459.6,IF
IF1503,20141021,2473.4,2482.0,2456.2,2459.0,3435,8313.0,254440.434,2460.2,2473.8,IF
IF1506,20141021,2479.2,2488.6,2462.4,2463.8,821,1166.0,60958.962,2466.2,2481.0,IF
TF1412,20141021,96.14,96.15,95.632,95.7,5236,10577.0,501800.322,95.716,95.992,TF
TF1503,20141021,96.5,96.61,96.202,96.228,417,908.0,40173.912,96.296,96.49,TF
TF1506,20141021,96.572,96.572,96.388,96.458,46,123.0,4438.054,96.472,96.64,TF
IF1411,20141022,2442.8,2453.2,2426.2,2428.6,705278,132085.0,51622488.666,2430.2,2441.0,IF
IF1412,20141022,2445.8,2457.0,2431.6,2433.4,39511,38071.0,2897526.528,2435.4,2445.8,IF
IF1503,20141022,2461.2,2473.0,2447.0,2448.8,3150,8288.0,232462.698,2451.2,2460.2,IF
IF1506,20141022,2469.0,2478.4,2454.0,2455.0,974,1294.0,71992.23,2457.6,2466.2,IF
TF1412,20141022,95.666,95.766,95.364,95.444,4355,10714.0,416175.83,95.436,95.716,TF
TF1503,20141022,96.314,96.314,95.87,95.93,570,1108.0,54761.666,95.896,96.296,TF
TF1506,20141022,96.408,96.408,96.134,96.186,28,114.0,2695.834,96.174,96.472,TF
IF1411,20141023,2426.6,2436.6,2402.6,2405.6,814216,130542.0,59085066.252,2406.4,2430.2,IF
IF1412,20141023,2431.2,2440.8,2407.2,2409.8,48149,37384.0,3500432.478,2410.8,2435.4,IF
IF1503,20141023,2447.6,2456.8,2424.8,2427.6,4313,8362.0,315629.94,2427.8,2451.2,IF
IF1506,20141023,2454.0,2462.4,2430.6,2431.6,1081,1510.0,79211.94,2433.2,2457.6,IF
TF1412,20141023,95.4,95.58,95.302,95.492,2711,10727.0,258805.094,95.492,95.436,TF
TF1503,20141023,95.88,95.99,95.784,95.968,484,1358.0,46423.212,95.938,95.896,TF
TF1506,20141023,96.14,96.286,96.14,96.27,43,123.0,4137.828,96.22,96.174,TF
IF1411,20141024,2408.0,2413.6,2396.0,2396.6,616341,133232.0,44490807.918,2402.0,2406.4,IF
IF1412,20141024,2412.0,2418.2,2401.8,2402.8,36062,38500.0,2608792.218,2407.0,2410.8,IF
IF1503,20141024,2427.6,2435.0,2418.0,2419.4,2866,8271.0,208704.552,2423.2,2427.8,IF
IF1506,20141024,2436.2,2440.0,2190.0,2420.0,1294,1523.0,93921.15,2412.2,2433.2,IF
TF1412,20141024,95.452,95.744,95.34,95.632,3782,10617.0,361412.44,95.664,95.492,TF
TF1503,20141024,95.934,96.162,95.834,96.09,443,1578.0,42521.474,96.068,95.938,TF
TF1506,20141024,96.082,96.424,96.082,96.402,20,128.0,1925.678,96.366,96.22,TF
IF1411,20141027,2391.0,2391.8,2368.2,2381.0,706590,137962.0,50441935.272,2378.8,2402.0,IF
IF1412,20141027,2397.2,2397.2,2373.8,2386.4,42689,37959.0,3053972.73,2384.2,2407.0,IF
IF1503,20141027,2417.2,2417.2,2391.0,2403.2,4033,8177.0,290546.754,2400.8,2423.2,IF
IF1506,20141027,2419.4,2419.4,2393.6,2404.8,1319,1634.0,95090.376,2402.2,2412.2,IF
TF1412,20141027,95.632,95.66,95.516,95.53,1989,10301.0,190105.342,95.57,95.664,TF
TF1503,20141027,96.058,96.066,95.942,96.0,423,1864.0,40612.674,96.028,96.068,TF
TF1506,20141027,96.208,96.296,96.208,96.25,5,129.0,481.314,96.27,96.366,TF
IF1411,20141028,2383.0,2428.4,2383.0,2425.8,737404,135407.0,53150591.622,2419.8,2378.8,IF
IF1412,20141028,2389.2,2433.0,2388.6,2431.4,43623,38949.0,3151090.332,2425.0,2384.2,IF
IF1503,20141028,2403.2,2447.4,2403.2,2445.6,4136,8313.0,300836.832,2439.8,2400.8,IF
IF1506,20141028,2404.8,2450.6,2404.8,2447.2,826,1769.0,60107.208,2442.6,2402.2,IF
TF1412,20141028,95.612,95.838,95.554,95.828,3738,10505.0,357776.996,95.802,95.57,TF
TF1503,20141028,96.044,96.296,96.04,96.288,914,2552.0,87924.7,96.264,96.028,TF
TF1506,20141028,96.428,96.518,96.284,96.47,35,145.0,3372.834,96.49,96.27,TF
IF1411,20141029,2429.4,2471.6,2423.8,2457.6,872767,129242.0,64010078.124,2452.4,2419.8,IF
IF1412,20141029,2435.0,2475.8,2429.0,2464.2,72552,42054.0,5333399.166,2457.2,2425.0,IF
IF1503,20141029,2445.8,2490.0,2443.2,2477.2,6239,8277.0,461616.858,2471.6,2439.8,IF
